11/4/2011,9:00,5,4300 CAM DE LA PLAZA,33.2944511,-117.2750004
11/4/2011,15:00,F,600 A ST,32.7188738,-117.1593141
11/4/2011,7:10,4,5800 LINDA VISTA RD,32.7695348,-117.1901453
11/4/2011,2:09,4,3000 NORTH PARK WY,32.7473763,-117.1300771
11/4/2011,12:10,6,1000 UNIVERSITY AV,32.748533,-117.1552947
11/4/2011,15:00,6,4900 UNIVERSITY AV,32.7495647,-117.0885794
11/4/2011,17:19,6,8100 MIRA MESA BL,32.912595,-117.1489133
11/4/2011,16:10,5,4100 TAYLOR ST,32.7567863,-117.1986156
11/4/2011,7:13,M,5600 MILDRED ST,32.7679409,-117.1937356
11/4/2011,1:13,A,5500 CLAIREMONT MESA BL,32.834235,-117.1733097
11/4/2011,23:58,M,10800 CANYON HILL LN,32.914547,-117.1643043
11/4/2011,15:30,4,3500 WAWONA DR,32.7335649,-117.2293024
11/4/2011,6:00,M,13300 VIA MAGDALENA,32.9626018,-117.1579993
11/4/2011,1:30,M,1100 GARNET AV,32.7977903,-117.2499944
11/4/2011,11:00,6,3200 SPORTS ARENA BL,32.7517535,-117.2055204
11/4/2011,12:35,6,1100 DENNERY RD,32.579919,-117.0342124
11/4/2011,1:30,5,1900 CALIFORNIA ST,32.7242566,-117.1705663
11/4/2011,15:00,5,400 W UNIVERSITY AV,32.7490206,-117.1674848
11/4/2011,2:25,4,2000 BROADWAY,32.7158126,-117.1458595
11/4/2011,21:00,6,4100 ORANGE AV,32.7532383,-117.1062802
11/4/2011,12:00,A,3200   ASHFORD ST,32.8019567,-117.1594371
11/4/2011,21:00,6,5200 MONROE AV,32.7590076,-117.0835862
11/4/2011,17:00,6,3700 EL CAJON BL,32.7553324,-117.113633
11/4/2011,15:00,A,600 B ST,32.718202,-117.158821
11/4/2011,21:00,6,9200 REGENTS RD,32.8751511,-117.2182787
11/4/2011,12:00,6,4000 TENNYSON ST,32.7406336,-117.2334483
11/4/2011,8:00,F,15800 PASEO DEL SUR,33.0190824,-117.1395453
11/4/2011,14:00,F,2400 BALSA ST,32.7307501,-117.0806888
11/4/2011,11:50,5,6100 MISSION GORGE RD,32.7850298,-117.0978354
11/4/2011,15:30,6,8000 FROST ST,32.8002742,-117.1538581
11/4/2011,23:00,5,10300 CAMINITO ALVAREZ,32.9054233,-117.1693364
11/4/2011,21:00,2,800 MARKET ST,32.7115787,-117.1574
11/4/2011,0:00,5,13600 MERCADO DR,32.9459799,-117.2508922
11/4/2011,23:00,6,2600 PIKAKE ST,32.5621865,-117.0770382
11/4/2011,23:00,5,9900 SCRIPPS WESTVIEW WY,32.9223189,-117.1136912
11/4/2011,17:00,Z,2200 MENDOCINO BL,32.7452329,-117.2357753
11/4/2011,20:00,4,200 65TH ST,32.7051308,-117.0580411
11/4/2011,15:30,F,3200 LOGAN AV,32.6970414,-117.1253217
11/4/2011,20:00,5,1200 CLEVELAND AV,32.7490451,-117.1532042
11/4/2011,10:00,5,6800 FRIARS RD,32.7682633,-117.1729998
11/4/2011,8:39,M,3500 42ND ST,32.7421919,-117.1046029
11/4/2011,12:00,5,3400 COLLEGE AV,32.7429847,-117.0519586
11/4/2011,2:30,F,3500 42ND ST,32.7421919,-117.1046029
11/4/2011,8:30,M,3500 42ND ST,32.7421919,-117.1046029
11/4/2011,20:45,Z,5200 MEADOWS DEL MAR DY,32.941778,-117.2053621
11/4/2011,15:30,M,4500 POLK AV,32.75143,-117.0976588
11/4/2011,11:00,5,9100 TOWNE CENTRE DR,32.8699322,-117.2071007
11/4/2011,9:00,F,900 FELSPAR ST,32.7979163,-117.2539385
11/4/2011,20:30,Z,8000 FROST ST,32.8002742,-117.1538581
11/4/2011,14:30,6,2900 IRIS AV,32.569149,-117.0712095
11/4/2011,9:00,6,1700 DIAMOND ST,32.8030038,-117.2398429
11/4/2011,18:00,M,1000 AGATE ST,32.810453,-117.2558091
11/4/2011,13:00,5,4600 CORONADO AV,32.7383924,-117.2477633
11/4/2011,19:00,6,1200 CAM DEL RIO SOUTH,33.4743163,-117.6164232
11/4/2011,23:50,4,4700 COCONINO WY,32.8308807,-117.2070063
11/4/2011,21:30,6,2100 STATION VILLAGE WY,32.7750264,-117.1425749
11/4/2011,12:00,6,8000 CAMINITO DE PIZZA,32.7726147,-117.1513621
11/4/2011,20:30,5,4300 MARYLAND ST,32.7553609,-117.1512932
11/4/2011,23:30,4,700 CAMNO DE LA REINA,32.7668783,-117.1586761
